Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 1,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 52,,,,,,,,,,,,,,,,,,,
,FOR TREASURER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP LARRY PACK,,845,,78.75%,,285,,550,,,9,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,4,,0.37%,,2,,1,,,1,,0,,0,,0,,
Total Votes Cast,,849,,79.12%,,287,,551,,,10,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,224,,20.88%,,77,,141,,,6,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,826,,76.98%,,275,,541,,,9,,0,,1,,0,,
DEM DEBORAH STILES,,170,,15.84%,,59,,104,,,7,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,996,,92.82%,,334,,645,,,16,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,77,,7.18%,,30,,47,,,0,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,FOR ATTORNEY GENERAL,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
"REP JOHN ""JB"" McCUSKEY",,728,,67.85%,,242,,477,,,8,,0,,1,,0,,
DEM TERESA TORISEVA,,218,,20.32%,,73,,137,,,8,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,946,,88.16%,,315,,614,,,16,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,127,,11.84%,,49,,78,,,0,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,135,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 52,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 2ND DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP CHRIS ROSE,,874,,81.45%,,294,,570,,,9,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,0.28%,,1,,1,,,1,,0,,0,,0,,
Total Votes Cast,,877,,81.73%,,295,,571,,,10,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,196,,18.27%,,69,,121,,,6,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,FOR MEMBER OF HOUSE OF DELEGATES 77TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JOE STATLER,,911,,84.90%,,303,,596,,,11,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,7,,0.65%,,2,,4,,,1,,0,,0,,0,,
Total Votes Cast,,918,,85.55%,,305,,600,,,12,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,155,,14.45%,,59,,92,,,4,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,654,,60.95%,,209,,437,,,7,,0,,1,,0,,
DEM TOM  BLOOM,,343,,31.97%,,118,,216,,,9,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,997,,92.92%,,327,,653,,,16,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,76,,7.08%,,37,,39,,,0,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,136,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 52,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,616,,57.41%,,219,,383,,,13,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,4,,0.37%,,0,,4,,,0,,0,,0,,0,,
Total Votes Cast,,620,,57.78%,,219,,387,,,13,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,453,,42.22%,,145,,305,,,3,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,FOR SHERIFF,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JASON MORGAN,,630,,58.71%,,214,,408,,,7,,0,,1,,0,,
DEM TODD FORBES,,370,,34.48%,,117,,244,,,9,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,000",,93.20%,,331,,652,,,16,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,73,,6.80%,,33,,40,,,0,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,FOR ASSESSOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RICH JACOBS,,567,,52.84%,,190,,372,,,4,,0,,1,,0,,
DEM MARK A. MUSICK,,419,,39.05%,,139,,269,,,11,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,986,,91.89%,,329,,641,,,15,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,87,,8.11%,,35,,51,,,1,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,137,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 52,,,,,,,,,,,,,,,,,,,
,FOR SURVEYOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP BOB ANDRIOTTO,,850,,79.22%,,286,,554,,,9,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,850,,79.22%,,286,,554,,,9,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,223,,20.78%,,78,,138,,,7,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
,AMENDMENT NO. 1,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
For,,425,,39.61%,,138,,277,,,9,,0,,1,,0,,
Against,,480,,44.73%,,169,,306,,,5,,0,,0,,0,,
Total Votes Cast,,905,,84.34%,,307,,583,,,14,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,168,,15.66%,,57,,109,,,2,,0,,0,,0,,
Contest Totals,,"1,073",,100.00%,,364,,692,,,16,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,138,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 58,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Registered Voters - Total,,"1,451",,,,,,,,,,,,,,,,,
Ballots Cast - Total,,996,,399,,581,,12,,,0,,2,,2,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,0,,0,,0,,,,
Voter Turnout - Total,,68.64%,,,,,,,,,,,,,,,,,
,FOR PRESIDENT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP DONALD J. TRUMP,,694,,69.68%,,275,,412,,,5,,0,,0,,2,,
DEM KAMALA D. HARRIS,,274,,27.51%,,112,,154,,,7,,0,,1,,0,,
LBN CHASE OLIVER,,6,,0.60%,,3,,2,,,0,,0,,1,,0,,
MTN JILL STEIN,,3,,0.30%,,0,,3,,,0,,0,,0,,0,,
IND ROBERT F. KENNEDY JR.,,10,,1.00%,,5,,5,,,0,,0,,0,,0,,
Write-In Totals,,5,,0.50%,,2,,3,,,0,,0,,0,,0,,
Total Votes Cast,,992,,99.60%,,397,,579,,,12,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,4,,0.40%,,2,,2,,,0,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR U.S. SENATOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JIM JUSTICE,,663,,66.57%,,264,,395,,,3,,0,,0,,1,,
DEM GLENN ELLIOTT,,258,,25.90%,,97,,152,,,7,,0,,1,,1,,
LBN DAVID MORAN,,52,,5.22%,,27,,23,,,1,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,0.20%,,2,,0,,,0,,0,,0,,0,,
Total Votes Cast,,975,,97.89%,,390,,570,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,21,,2.11%,,9,,11,,,1,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR U.S. HOUSE OF REPS 2ND DIST,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RILEY MOORE,,648,,65.06%,,257,,384,,,4,,0,,1,,2,,
DEM STEVEN WENDELIN,,264,,26.51%,,107,,149,,,7,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.10%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,913,,91.67%,,365,,533,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,83,,8.33%,,34,,48,,,1,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,139,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 58,,,,,,,,,,,,,,,,,,,
,FOR GOVERNOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP PATRICK MORRISEY,,610,,61.24%,,242,,364,,,3,,0,,0,,1,,
DEM STEVE WILLIAMS,,280,,28.11%,,113,,159,,,6,,0,,1,,1,,
LBN ERIKA KLIE KOLENICH,,39,,3.92%,,17,,19,,,2,,0,,1,,0,,
MTN CHASE LINKO-LOOPER,,11,,1.10%,,7,,4,,,0,,0,,0,,0,,
CST S. MARSHALL WILSON,,17,,1.71%,,9,,8,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,957,,96.08%,,388,,554,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,39,,3.92%,,11,,27,,,1,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR SECRETARY OF STATE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KRIS WARNER,,666,,66.87%,,256,,404,,,3,,0,,1,,2,,
DEM THORNTON COOPER,,272,,27.31%,,114,,149,,,8,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,0.20%,,1,,1,,,0,,0,,0,,0,,
Total Votes Cast,,940,,94.38%,,371,,554,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,56,,5.62%,,28,,27,,,1,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR AUDITOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARK HUNT,,643,,64.56%,,258,,380,,,4,,0,,1,,0,,
DEM MARY ANN ROEBUCK CLAYTOR,,283,,28.41%,,108,,165,,,7,,0,,1,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.10%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,927,,93.07%,,367,,545,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,69,,6.93%,,32,,36,,,1,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,140,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 58,,,,,,,,,,,,,,,,,,,
,FOR TREASURER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP LARRY PACK,,801,,80.42%,,325,,466,,,6,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,4,,0.40%,,2,,2,,,0,,0,,0,,0,,
Total Votes Cast,,805,,80.82%,,327,,468,,,6,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,191,,19.18%,,72,,113,,,6,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,685,,68.78%,,262,,416,,,4,,0,,1,,2,,
DEM DEBORAH STILES,,248,,24.90%,,106,,133,,,8,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,0.20%,,1,,1,,,0,,0,,0,,0,,
Total Votes Cast,,935,,93.88%,,369,,550,,,12,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,61,,6.12%,,30,,31,,,0,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR ATTORNEY GENERAL,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
"REP JOHN ""JB"" McCUSKEY",,655,,65.76%,,259,,390,,,4,,0,,1,,1,,
DEM TERESA TORISEVA,,272,,27.31%,,112,,151,,,7,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,0.30%,,0,,3,,,0,,0,,0,,0,,
Total Votes Cast,,930,,93.37%,,371,,544,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,66,,6.63%,,28,,37,,,1,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,141,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 58,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 2ND DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP CHRIS ROSE,,806,,80.92%,,322,,475,,,5,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,5,,0.50%,,2,,3,,,0,,0,,0,,0,,
Total Votes Cast,,811,,81.43%,,324,,478,,,5,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,185,,18.57%,,75,,103,,,7,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR MEMBER OF HOUSE OF DELEGATES 77TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JOE STATLER,,822,,82.53%,,334,,480,,,5,,0,,1,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,7,,0.70%,,3,,4,,,0,,0,,0,,0,,
Total Votes Cast,,829,,83.23%,,337,,484,,,5,,0,,1,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,167,,16.77%,,62,,97,,,7,,0,,1,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,561,,56.33%,,213,,341,,,4,,0,,2,,1,,
DEM TOM  BLOOM,,395,,39.66%,,170,,216,,,8,,0,,0,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.10%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,957,,96.08%,,383,,558,,,12,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,39,,3.92%,,16,,23,,,0,,0,,0,,0,,
Contest Totals,,996,,100.00%,,399,,581,,,12,,0,,2,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,142,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 58,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,627,,62.95%,,263,,352,,,9,,0,,1,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,29,,2.91%,,11,,18,,,0,,0,,0,,0,,
Total Votes Cast,,656,,65.86%,,274,,370,,,9,,0,,1,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
