"County","Office","Candidate","Party","County Total","State Total"
"Hancock","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","19","1073"
"Harrison","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","43","1073"
"Hinds","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","99","1073"
"Holmes","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Humphreys","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Issaquena","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","6","1073"
"Itawamba","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Jackson","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","32","1073"
"Jasper","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Jeff Davis","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","2","1073"
"Jefferson","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Jones","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","13","1073"
"Kemper","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Lafayette","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","25","1073"
"Lamar","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","26","1073"
"Lauderdale","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","14","1073"
"Lawrence","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","0","1073"
"Leake","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Lee","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","16","1073"
"Leflore","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Lincoln","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","6","1073"
"Lowndes","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","13","1073"
"Madison","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","30","1073"
"Marion","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","10","1073"
"Marshall","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","10","1073"
"Monroe","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","8","1073"
"Montgomery","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Neshoba","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Newton","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","2","1073"
"Noxubee","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Oktibbeha","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","26","1073"
"Panola","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","9","1073"
"Pearl River","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","11","1073"
"Perry","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","2","1073"
"Pike","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","7","1073"
"Pontotoc","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Prentiss","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Quitman","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","10","1073"
"Rankin","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","28","1073"
"Scott","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","13","1073"
"Sharkey","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Simpson","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","6","1073"
"Smith","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Stone","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Sunflower","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Tallahatchie","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Tate","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","8","1073"
"Tippah","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Tishomingo","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Tunica","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Union","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","6","1073"
"Walthall","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Warren","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","8","1073"
"Washington","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","13","1073"
"Wayne","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Webster","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Wilkinson","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","6","1073"
"Winston","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Yalobusha","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Yazoo","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","7","1073"
"Adams","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","37","5381"
"Alcorn","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","58","5381"
"Amite","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","23","5381"
"Attala","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","25","5381"
"Benton","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","13","5381"
"Bolivar","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","30","5381"
"Calhoun","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","20","5381"
"Carroll","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","18","5381"
"Chickasaw","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","27","5381"
"Choctaw","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","21","5381"
"Claiborne","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","14","5381"
"Clarke","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","23","5381"
"Clay","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","38","5381"
"Coahoma","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","39","5381"
"Copiah","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","50","5381"
"Covington","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","34","5381"
"DeSoto","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","701","5381"
"Forrest","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","168","5381"
"Franklin","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","13","5381"
"George","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","28","5381"
"Greene","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","13","5381"
"Grenada","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","28","5381"
"Hancock","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","81","5381"
"Harrison","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","345","5381"
"Hinds","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","468","5381"
"Holmes","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","27","5381"
"Humphreys","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","10","5381"
"Issaquena","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","6","5381"
"Itawamba","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","29","5381"
"Jackson","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","216","5381"
"Jasper","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","20","5381"
"Jeff Davis","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","16","5381"
"Jefferson","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","15","5381"
"Jones","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","104","5381"
"Kemper","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","3","5381"
"Lafayette","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","143","5381"
"Lamar","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","130","5381"
"Lauderdale","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","114","5381"
"Lawrence","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","19","5381"
"Leake","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","25","5381"
"Lee","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","159","5381"
"Leflore","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","41","5381"
"Lincoln","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","40","5381"
"Lowndes","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","102","5381"
"Madison","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","253","5381"
"Marion","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","41","5381"
"Marshall","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","52","5381"
"Monroe","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","57","5381"
"Montgomery","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","8","5381"
"Neshoba","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","47","5381"
"Newton","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","34","5381"
"Noxubee","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","10","5381"
"Oktibbeha","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","96","5381"
"Panola","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","80","5381"
"Pearl River","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","101","5381"
"Perry","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","9","5381"
"Pike","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","52","5381"
"Pontotoc","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","52","5381"
"Prentiss","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","29","5381"
"Quitman","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","15","5381"
"Rankin","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","223","5381"
"Scott","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","32","5381"
"Sharkey","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","4","5381"
"Simpson","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","24","5381"
"Smith","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","20","5381"
"Stone","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","26","5381"
"Sunflower","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","20","5381"
"Tallahatchie","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","21","5381"
"Tate","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","52","5381"
"Tippah","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","27","5381"
"Tishomingo","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","30","5381"
"Tunica","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","21","5381"
"Union","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","52","5381"
"Walthall","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","27","5381"
"Warren","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","84","5381"
"Washington","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","73","5381"
"Wayne","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","44","5381"
"Webster","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","9","5381"
"Wilkinson","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","20","5381"
"Winston","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","31","5381"
"Yalobusha","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","40","5381"
"Yazoo","United States-President","Presidential Electors for Robert F. Kennedy Jr. for President and Nicole Shanahan for Vice President","Independent","31","5381"
"Adams","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","12","1003"
"Alcorn","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","14","1003"
"Amite","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","8","1003"
"Attala","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Benton","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Bolivar","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","6","1003"
"Calhoun","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Carroll","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Chickasaw","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","5","1003"
"Choctaw","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Claiborne","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Clarke","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","3","1003"
"Clay","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","4","1003"
"Coahoma","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Copiah","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","11","1003"
"Covington","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"DeSoto","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","206","1003"
"Forrest","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","28","1003"
"Franklin","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"George","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","7","1003"
"Greene","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Grenada","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Hancock","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","17","1003"
"Harrison","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","47","1003"
"Hinds","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","90","1003"
"Holmes","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","3","1003"
"Humphreys","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Issaquena","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","5","1003"
"Itawamba","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","5","1003"
"Jackson","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","29","1003"
"Jasper","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Jeff Davis","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Jefferson","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Jones","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","8","1003"
"Kemper","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Lafayette","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","34","1003"
"Lamar","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","40","1003"
"Lauderdale","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","16","1003"
"Lawrence","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Leake","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","3","1003"
"Lee","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","34","1003"
"Leflore","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","4","1003"
"Lincoln","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","10","1003"
"Lowndes","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","22","1003"
"Madison","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","56","1003"
"Marion","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","8","1003"
"Marshall","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","6","1003"
"Monroe","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","3","1003"
"Montgomery","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","4","1003"
"Neshoba","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","7","1003"
"Newton","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Noxubee","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Oktibbeha","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","33","1003"
"Panola","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","9","1003"
"Pearl River","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","13","1003"
"Perry","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Pike","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","9","1003"
"Pontotoc","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","7","1003"
"Prentiss","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","5","1003"
"Quitman","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Rankin","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","64","1003"
"Scott","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Sharkey","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Simpson","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Smith","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","3","1003"
"Stone","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","12","1003"
"Sunflower","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","4","1003"
"Tallahatchie","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Tate","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","13","1003"
"Tippah","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Tishomingo","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Tunica","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Union","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","9","1003"
"Walthall","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","4","1003"
"Warren","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","18","1003"
"Washington","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","6","1003"
"Wayne","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","1","1003"
"Webster","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Wilkinson","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","0","1003"
"Winston","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","4","1003"
"Yalobusha","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","3","1003"
"Yazoo","United States-President","Presidential Electors for Peter Sonski for President and Lauren Onak for Vice President","Independent","2","1003"
"Adams","United States-Senate","Ty Pinkins","Democrat","6560","450749"
"Alcorn","United States-Senate","Ty Pinkins","Democrat","2280","450749"
"Amite","United States-Senate","Ty Pinkins","Democrat","2294","450749"
"Attala","United States-Senate","Ty Pinkins","Democrat","2894","450749"
"Benton","United States-Senate","Ty Pinkins","Democrat","1280","450749"
"Bolivar","United States-Senate","Ty Pinkins","Democrat","6200","450749"
"Calhoun","United States-Senate","Ty Pinkins","Democrat","1512","450749"
"Carroll","United States-Senate","Ty Pinkins","Democrat","1378","450749"
"Chickasaw","United States-Senate","Ty Pinkins","Democrat","3023","450749"
"Choctaw","United States-Senate","Ty Pinkins","Democrat","937","450749"
"Claiborne","United States-Senate","Ty Pinkins","Democrat","2843","450749"
"Clarke","United States-Senate","Ty Pinkins","Democrat","2350","450749"
"Clay","United States-Senate","Ty Pinkins","Democrat","4886","450749"
"Coahoma","United States-Senate","Ty Pinkins","Democrat","4533","450749"
"Copiah","United States-Senate","Ty Pinkins","Democrat","5287","450749"
"Covington","United States-Senate","Ty Pinkins","Democrat","2879","450749"
"DeSoto","United States-Senate","Ty Pinkins","Democrat","28914","450749"
"Forrest","United States-Senate","Ty Pinkins","Democrat","11221","450749"
"Franklin","United States-Senate","Ty Pinkins","Democrat","1203","450749"
"George","United States-Senate","Ty Pinkins","Democrat","1216","450749"
"Greene","United States-Senate","Ty Pinkins","Democrat","891","450749"
"Grenada","United States-Senate","Ty Pinkins","Democrat","3989","450749"
"Hancock","United States-Senate","Ty Pinkins","Democrat","4104","450749"
"Harrison","United States-Senate","Ty Pinkins","Democrat","25289","450749"
"Hinds","United States-Senate","Ty Pinkins","Democrat","60625","450749"
"Holmes","United States-Senate","Ty Pinkins","Democrat","5226","450749"
"Humphreys","United States-Senate","Ty Pinkins","Democrat","2355","450749"
"Issaquena","United States-Senate","Ty Pinkins","Democrat","291","450749"
"Itawamba","United States-Senate","Ty Pinkins","Democrat","1114","450749"
"Jackson","United States-Senate","Ty Pinkins","Democrat","14932","450749"
"Jasper","United States-Senate","Ty Pinkins","Democrat","3646","450749"
"Jeff Davis","United States-Senate","Ty Pinkins","Democrat","2970","450749"
"Jefferson","United States-Senate","Ty Pinkins","Democrat","2634","450749"
"Jones","United States-Senate","Ty Pinkins","Democrat","7246","450749"
"Kemper","United States-Senate","Ty Pinkins","Democrat","2234","450749"
"Lafayette","United States-Senate","Ty Pinkins","Democrat","8447","450749"
"Lamar","United States-Senate","Ty Pinkins","Democrat","6863","450749"
"Lauderdale","United States-Senate","Ty Pinkins","Democrat","10139","450749"
"Lawrence","United States-Senate","Ty Pinkins","Democrat","1867","450749"
"Leake","United States-Senate","Ty Pinkins","Democrat","3116","450749"
